Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
44,BOULEVARD DE L'EUROPE,VERTOU,44120,1.85 €,0.88 €,1.96 €,1.90 €,
44,55 Boulevard Jules Verne,Nantes,44300,,,,2.21 €,
44,310 Rue de Pornichet,SAINT-NAZAIRE,44600,1.99 €,,2.09 €,2.07 €,
44,1 Rue des Filets,LA PLAINE-SUR-MER,44770,1.96 €,,2.07 €,1.96 €,
44,44 ROUTE D'ABBARETZ,NOZAY,44170,,,,2.05 €,
44,7  AVENUE DE LA MONNERAYE,HERBIGNAC,44410,1.81 €,0.69 €,1.90 €,1.88 €,
44,14 route de Paris,NANTES,44300,1.84 €,,1.96 €,1.91 €,
44, Rue Marie Curie,NOZAY,44170,2.09 €,,,2.10 €,
44,AVENUE DES SPORTS,CAMPBON,44750,,,2.19 €,1.99 €,
44,432 ROUTE DE CLISSON,VERTOU,44120,1.90 €,,2.03 €,1.91 €,
44,Route de PARIS,NANTES,44300,1.85 €,,,1.91 €,
44,162 Route de Rennes,Nantes,44300,1.94 €,,2.10 €,2.05 €,
44,Route de la Plaine,SAINT-MICHEL-CHEF-CHEF,44730,,,2.04 €,1.93 €,
44,226 BLD DE LA LOIRE,Basse-Goulaine,44115,1.82 €,,1.95 €,1.89 €,
44,Rue de la Bérangerais,LA CHAPELLE-SUR-ERDRE,44240,null,null,null,null,
44,325 Route de Vannes,SAINT-HERBLAIN,44800,1.83 €,,1.94 €,1.89 €,
44,Avenue Jean Burel,Saint-Nicolas-de-Redon,44460,1.85 €,0.70 €,1.94 €,1.91 €,
44,zone d'activités de la guerche,Saint-Brevin-les-Pins,44250,1.83 €,,1.95 €,1.89 €,
44,272  ROUTE DE SAINTE LUCE,NANTES,44300,1.83 €,0.87 €,1.94 €,1.90 €,
44,49-61 BLD DALBY,NANTES,44100,1.93 €,0.87 €,2.04 €,2.00 €,
44,33 ROUTE BESLE,Guémené-Penfao,44290,,,2.02 €,1.93 €,
44,Rue du Traité d'Amsterdam,Pornic,44210,1.96 €,,2.07 €,1.96 €,
44,RUE DES EPINETTES,PORT SAINT-PERE,44710,,,1.99 €,1.94 €,
44,Le souchais - route de Sucé,Carquefou,44470,1.93 €,0.81 €,2.02 €,1.93 €,
44,110 boulevard Égalite ( place zola ),NANTES,44100,1.94 €,,2.10 €,2.05 €,
44,10 Rond Point de la Corbinerie,REZé,44400,1.84 €,,1.96 €,1.90 €,
44,140 Route des Sorinières,Rezé,44400,1.84 €,,1.94 €,1.90 €,
